start,end,elapsed_time,average
16/01/2024 07:26:51,16/01/2024 07:26:57,0:00:05.494690,49.72%
16/01/2024 07:26:51,16/01/2024 07:27:06,0:00:14.357910,50.12%
18/01/2024 00:43:45,18/01/2024 00:51:11,0:07:25.782692,44.97%
18/01/2024 01:14:51,18/01/2024 01:14:59,0:00:07.379669,41.16%
18/01/2024 01:17:52,18/01/2024 01:18:02,0:00:09.835224,48.43%
18/01/2024 01:20:27,18/01/2024 01:20:50,0:00:22.931188,45.6%
18/01/2024 01:26:02,18/01/2024 01:26:09,0:00:07.369664,41.74%
18/01/2024 01:26:02,18/01/2024 01:26:19,0:00:17.437941,39.49%
18/01/2024 01:26:02,18/01/2024 01:26:29,0:00:27.492213,41.25%
18/01/2024 01:26:02,18/01/2024 01:26:40,0:00:38.285655,41.41%
18/01/2024 01:27:10,18/01/2024 01:28:07,0:00:57.402824,40.36%
18/01/2024 01:27:10,18/01/2024 01:29:07,0:01:57.486540,41.37%
18/01/2024 01:27:10,18/01/2024 01:30:07,0:02:57.726158,44.26%
18/01/2024 01:31:02,18/01/2024 01:32:00,0:00:57.356965,38.95%
18/01/2024 01:31:02,18/01/2024 01:32:21,0:01:18.683790,38.19%
