start,end,elapsed_time,average
16/01/2024 07:26:52,16/01/2024 07:26:59,0:00:06.211772,12.9GB
16/01/2024 07:26:52,16/01/2024 07:27:04,0:00:11.989804,12.9GB
18/01/2024 00:43:46,18/01/2024 00:51:12,0:07:26.525915,11.4GB
18/01/2024 01:14:52,18/01/2024 01:15:02,0:00:09.539159,11.2GB
18/01/2024 01:14:52,18/01/2024 01:16:41,0:01:48.833650,11.3GB
18/01/2024 01:17:53,18/01/2024 01:18:03,0:00:09.734202,11.3GB
18/01/2024 01:20:28,18/01/2024 01:20:51,0:00:22.285037,11.3GB
18/01/2024 01:26:03,18/01/2024 01:26:12,0:00:09.516152,11.3GB
18/01/2024 01:26:03,18/01/2024 01:26:22,0:00:19.653443,11.3GB
18/01/2024 01:26:03,18/01/2024 01:26:32,0:00:29.763729,11.3GB
18/01/2024 01:27:10,18/01/2024 01:28:10,0:00:59.543392,11.4GB
18/01/2024 01:27:10,18/01/2024 01:29:10,0:01:59.701040,11.4GB
18/01/2024 01:27:10,18/01/2024 01:29:40,0:02:30.183929,11.4GB
18/01/2024 01:27:10,18/01/2024 01:30:10,0:02:59.903647,11.3GB
18/01/2024 01:31:03,18/01/2024 01:32:03,0:00:59.455443,11.4GB
