start,end,elapsed_time,average
16/01/2024 07:26:52,16/01/2024 07:26:59,0:00:06.295988,55.18%
16/01/2024 07:26:52,16/01/2024 07:27:04,0:00:12.075020,55.26%
18/01/2024 00:43:46,18/01/2024 00:51:12,0:07:26.597475,48.76%
18/01/2024 01:14:52,18/01/2024 01:15:02,0:00:09.544161,48.03%
18/01/2024 01:14:52,18/01/2024 01:16:41,0:01:48.849654,48.3%
18/01/2024 01:17:53,18/01/2024 01:18:03,0:00:09.705196,48.23%
18/01/2024 01:20:28,18/01/2024 01:20:51,0:00:22.373059,48.45%
18/01/2024 01:26:02,18/01/2024 01:26:12,0:00:09.536154,48.36%
18/01/2024 01:26:02,18/01/2024 01:26:22,0:00:19.647440,48.4%
18/01/2024 01:26:02,18/01/2024 01:26:32,0:00:29.779730,48.5%
18/01/2024 01:27:10,18/01/2024 01:28:10,0:00:59.531391,48.77%
18/01/2024 01:27:10,18/01/2024 01:29:10,0:01:59.720045,48.91%
18/01/2024 01:27:10,18/01/2024 01:29:40,0:02:30.198935,48.97%
18/01/2024 01:27:10,18/01/2024 01:30:10,0:02:59.908651,48.37%
18/01/2024 01:31:03,18/01/2024 01:32:03,0:00:59.536458,48.56%
