start,end,elapsed_time,average
16/01/2024 07:26:53,16/01/2024 07:27:01,0:00:08.566949,207.7KB/s
16/01/2024 07:26:53,16/01/2024 07:27:07,0:00:14.277020,121.7KB/s
18/01/2024 00:43:46,18/01/2024 00:51:15,0:07:28.840600,162.0KB/s
18/01/2024 01:14:53,18/01/2024 01:15:03,0:00:09.975254,680.9B/s
18/01/2024 01:17:54,18/01/2024 01:18:04,0:00:10.131291,235.0B/s
18/01/2024 01:20:29,18/01/2024 01:20:51,0:00:21.587881,542.5B/s
18/01/2024 01:26:03,18/01/2024 01:26:13,0:00:09.985255,471.4B/s
18/01/2024 01:26:03,18/01/2024 01:26:25,0:00:22.129001,194.3B/s
18/01/2024 01:26:03,18/01/2024 01:26:37,0:00:34.324760,413.6B/s
18/01/2024 01:27:11,18/01/2024 01:28:11,0:00:59.989009,301.4B/s
18/01/2024 01:27:11,18/01/2024 01:29:13,0:02:02.145594,446.6B/s
18/01/2024 01:27:11,18/01/2024 01:30:15,0:03:04.270639,503.3B/s
18/01/2024 01:31:04,18/01/2024 01:32:04,0:00:59.980558,758.4B/s
