start,end,elapsed_time,average
16/01/2024 07:26:53,16/01/2024 07:27:01,0:00:08.552789,2.8KB/s
16/01/2024 07:26:53,16/01/2024 07:27:07,0:00:14.266016,2.0KB/s
18/01/2024 00:43:46,18/01/2024 00:51:15,0:07:28.825596,2.5KB/s
18/01/2024 01:14:53,18/01/2024 01:15:04,0:00:11.028493,1.5KB/s
18/01/2024 01:17:54,18/01/2024 01:18:05,0:00:11.248543,157.0B/s
18/01/2024 01:26:03,18/01/2024 01:26:14,0:00:11.036495,1.7KB/s
18/01/2024 01:26:03,18/01/2024 01:26:26,0:00:23.182240,744.8B/s
18/01/2024 01:26:03,18/01/2024 01:26:38,0:00:35.373998,234.9B/s
18/01/2024 01:27:11,18/01/2024 01:28:12,0:01:01.061252,324.0B/s
18/01/2024 01:27:11,18/01/2024 01:29:14,0:02:03.190830,335.9B/s
18/01/2024 01:27:11,18/01/2024 01:30:16,0:03:05.321874,521.6B/s
18/01/2024 01:31:04,18/01/2024 01:32:04,0:00:59.966555,536.2B/s
